SELFIES,true_LogS,guessed_LogS
[O][=C][Branch1][C][O][C@@H1][Branch1][C][N][C][C][=Branch1][C][=O][N],-0.653,-0.653
[S][=Branch1][C][=O][=Branch1][C][=O][Branch1][C][N][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1],-1.734,-1.734
[O][=C][Branch1][Ring1][C][C][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1],-2.6389999,-2.639
[O][=C][Branch1][C][O][C@@H1][Branch1][C][N][C][C][NH1][C][=N][C][=Ring1][Branch1],-0.53200001,-0.532
[O][C][C][C],1.221,1.221
[O][C][C][C][C],-0.0689999979999999,-0.069
[O][C][C][C][C][C],-0.60299999,-0.603
[C][=C][C][=C][C][=C][Ring1][=Branch1],-1.64,-1.64
[Cl][C][Branch1][C][Cl][Branch1][C][Cl][C],-2.0150001,-2.015
[S][=Branch1][C][=O][=Branch1][C][=O][Branch1][=Branch2][N][C][S][C][=C][N][=Ring1][Branch1][C][=C][C][=C][Branch1][C][N][C][=C][Ring1][#Branch1],-2.835,-2.835
[O][=C][Branch1][C][O][C@@H1][Branch1][C][N][C][Branch1][C][C][C],-0.30199999,-0.302
[O][=C][Branch1][C][O][C@@H1][Branch1][C][N][C@H1][Branch1][C][O][C],-0.089000002,-0.089
[Cl][C][Branch1][C][Cl][Branch1][C][Cl][C][Branch1][=N][C][=C][C][=C][Branch1][Ring1][O][C][C][=C][Ring1][Branch2][C][=C][C][=C][Branch1][Ring1][O][C][C][=C][Ring1][Branch2],-6.539,-6.539
[Cl][C][Branch1][C][Cl][C][Branch1][=N][C][=C][C][=C][Branch1][Ring1][C][C][C][=C][Ring1][Branch2][C][=C][C][=C][Branch1][Ring1][C][C][C][=C][Ring1][Branch2],-6.4879999,-6.488
[O][=C][Branch1][C][O][C@@H1][Branch1][C][N][C][C][C][=C][Branch1][Branch1][NH1][C][=Ring1][Branch1][C][=C][C][=C][Ring1][Branch2],-1.183,-1.183
[N][C][=N][C][=N][C][NH1][C][=N][C][Ring1][=Branch2][=Ring1][Branch1],-2.1180000000000003,-2.118
[O][=C][Branch1][C][O][C@@H1][Branch1][C][N][C@@H1][Branch1][Ring1][C][C][C],-0.58099997,-0.581
[Cl][C][=C][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][O][C][=C][Ring1][=Branch2],-3.3369998999999995,-3.337
[C][C],-2.6989999,-2.699
[C][#C],-1.336,-1.336
[Cl][C],-0.977,-0.977
[S][C],-0.495,-0.495
[Br][C][Br],-1.165,-1.165
[Br][C][C],-1.0829999,-1.083
[Br][C][Cl],-0.889,-0.889
[C][#Branch1][C][#C][C],-1.0420001,-1.042
[Cl][C][C],-0.98299998,-0.983
[Cl][C][=C],-0.85100001,-0.851
[I][C][C],-1.591,-1.591
[N][#C][C],1.3869999999999998,1.387
[O][=C][C],1.3559999,1.356
[S][C][C],-0.60000002,-0.6
[I][C][I],-2.507,-2.507
[O][N][=C],0.57700002,0.577
[S][Branch1][C][C][C],-0.45100001,-0.451
[C][C][C][Ring1][Ring1],-2.043,-2.043
[Br][C][Branch1][C][Br][Br],-1.911,-1.911
[Br][C][Branch1][C][Cl][Cl],-1.733,-1.733
[Cl][C][Branch1][C][C][C],-1.404,-1.404
[I][C][Branch1][C][C][C],-2.0840001,-2.084
[N][C][Branch1][C][C][C],1.228,1.228
[Cl][C][Branch1][C][Cl][=C],-1.6030000000000002,-1.603
[F][C][Branch1][C][F][=C],-2.579,-2.579
[Cl][C][Branch1][C][Cl][F],-0.73799998,-0.738
[Cl][C][Branch1][C][F][F],-1.494,-1.494
[C][C][O][C][Ring1][Ring1],1.007,1.007
[Br][C][Branch1][C][F][Branch1][C][F][F],-2.668,-2.668
[O][C][Branch1][C][C][Branch1][C][C][C],1.13,1.13
[Cl][C][Branch1][C][Cl][Branch1][C][F][F],-2.635,-2.635
[S][=Branch1][C][=O][=Branch1][C][=O][Branch1][C][O][C],1.017,1.017
[Si][Branch1][C][C][Branch1][C][C][Branch1][C][C][C],-3.6530001,-3.653
[C][Branch1][Ring1][C][C][Branch1][C][C][Branch1][C][C][C],-3.671,-3.671
[O][C][C][Branch1][C][C][Branch1][C][C][C],-0.40099999,-0.401
[Cl][C][Branch1][C][Cl][Branch1][C][Cl][C][=O],-0.69099998,-0.691
[Cl][C][C][Branch1][C][F][Branch1][C][F][F],-1.11,-1.11
[Br][C][Branch1][C][Br][Branch1][C][Br][C][=Branch1][C][=O][O],-0.171,-0.171
[O][=C][Branch1][=Branch2][C][Branch1][C][C][Branch1][C][C][C][C],-0.722,-0.722
[Cl][C][Branch1][C][Cl][Branch1][=Branch1][C][=Branch1][C][=O][O][C],0.54500002,0.545
[Cl][C][Branch1][C][Cl][Branch1][C][Cl][C][Branch1][C][Cl][Cl],-2.625,-2.625
[Cl][C][Branch1][C][F][Branch1][C][F][C][=Branch1][C][=O][O],0.884,0.884
[F][C][Branch1][C][F][Branch1][C][F][C][=Branch1][C][=O][O],0.94300002,0.943
[Cl][C][Branch1][C][Cl][Branch1][C][Cl][C][Branch1][C][Cl][Branch1][C][F][F],-3.309,-3.309
[Cl][C][Branch1][C][Cl][Branch1][C][F][C][Branch1][C][Cl][Branch1][C][Cl][F],-3.23,-3.23
[Cl][C][Branch1][C][Cl][Branch1][C][F][C][Branch1][C][Cl][Branch1][C][F][F],-3.0420001,-3.042
[Cl][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][Cl][Branch1][C][F][F],-3.119,-3.119
[F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][F],-4.2490001,-4.249
[F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][F],-4.5180001,-4.518
[S][=Branch1][C][=O][=Branch1][C][=O][Branch2][Ring1][C][C][Branch1][#Branch2][S][=Branch1][C][=O][=Branch1][C][=O][C][C][Branch1][Ring1][C][C][C][C][C],-1.6849999,-1.685
[O][=C][C][Branch1][C][C][C][Branch1][C][C][Branch1][C][C][C][Branch1][Ring2][C][Ring1][Branch2][C][C][Ring1][=Branch2],-1.978,-1.978
[F][C@][C@@H1][Branch1][C][O][C][C@][Branch1][C][C][C@][Branch1][#Branch1][C][=Branch1][C][=O][C][O][O][C][Branch1][C][C][Branch1][C][C][O][C@@H1][Ring1][O][C][C][Ring1][#C][C][Ring2][Ring1][Ring2][C][C][C][C@][Ring2][Ring1][Branch2][Branch1][C][C][C][=C][C][=Branch1][C][=O][C][=Ring1][Branch2],-4.316,-4.316
[Cl][C][Branch1][C][Cl][Branch1][=Branch1][C][Branch1][C][O][O][C][Branch1][C][Cl][C],-0.86699998,-0.867
[Cl][C][Branch1][C][Cl][C][Branch1][C][Cl][C][Branch1][C][Cl][=C][Branch1][C][Cl][C][Ring1][=Branch2][Branch1][C][Cl][C][C][Ring1][#Branch2][C][Branch1][C][Cl][C][=C][Ring1][=Branch1],-6.316999900000001,-6.317
[O][Branch1][C][C][C][=C][O][C@H1][C@@H1][Branch1][C][O][C][=C][C][C@@H1][N][Branch1][C][C][C][C][C@][Ring1][N][Ring1][#Branch1][C][Ring1][#C][=C][Branch1][=Branch1][C][=C][Ring2][Ring1][Ring1][C][Ring1][O],-1.5219999999999998,-1.522
[O][=C][C][Branch1][Branch2][C][Branch1][Ring2][C][C][C][C][Branch1][Ring1][C][C][C][=Branch1][C][=O][N][C][=Branch1][C][=O][N][Ring1][#C],-2.523,-2.523
[O][=C][C][Branch1][=Branch1][C][Branch1][C][C][C][Branch1][Ring1][C][C][C][=Branch1][C][=O][N][C][=Branch1][C][=O][N][Ring1][=N],-2.214,-2.214
[O][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1],-2.26,-2.26
[O][=C][Branch1][C][O][C][Branch1][C][O][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1],-2.2090001,-2.209
[O][=C][C][Branch1][=Branch1][C][Branch1][C][C][C][Branch1][Ring2][C][C][=C][C][=Branch1][C][=O][N][C][=Branch1][C][=O][N][Ring1][=C],-1.712,-1.712
[O][=C][C][Branch1][Ring2][C][C][=C][Branch1][#Branch1][C][C][Branch1][C][C][C][C][=Branch1][C][=O][N][C][=Branch1][C][=O][N][Ring1][#C],-2.1199999,-2.12
[S][=C][N][C][=Branch1][C][=O][C][Branch1][Branch2][C][Branch1][Ring2][C][C][C][C][Branch1][Ring2][C][C][=C][C][=Branch1][C][=O][N][Ring1][S],-3.7119999,-3.712
[Cl][C][=C][Branch1][=Branch2][S][=Branch1][C][=O][=Branch1][C][=O][N][C][=C][Branch2][Ring1][Ring2][C][Branch1][C][O][N][C][=Branch1][C][=O][C][=C][Ring1][#Branch1][C][=C][C][=C][Ring1][=Branch1][C][=C][Ring2][Ring1][Branch1],-3.451,-3.451
[O][C][Branch1][Ring1][C][C][Branch1][Ring1][C][C][C],-0.38,-0.38
[O][C][Branch1][Ring1][C][#C][Branch1][Ring1][C][C][C],0.004,0.004
[S][=Branch1][C][=O][=Branch1][C][=O][Branch1][Ring1][O][C][O][C],-0.65399998,-0.654
[P][=Branch1][C][=O][Branch1][Ring2][O][C][C][Branch1][=Branch1][N][Branch1][C][C][C][C][#N],-0.219,-0.219
[O][=C][Branch1][C][O][C][Branch1][C][O][Branch1][#Branch1][C][C][=Branch1][C][=O][O][C][C][=Branch1][C][=O][O],0.48899999,0.489
[O][=N+1][Branch2][Ring1][=N][O][C][C][Branch1][Branch2][C][O][N+1][=Branch1][C][=O][O-1][Branch1][Branch2][C][O][N+1][=Branch1][C][=O][O-1][C][O][N+1][=Branch1][C][=O][O-1][O-1],-3.8659999,-3.866
[P][=Branch1][C][=O][Branch1][=N][O][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1][Branch1][=N][O][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1][O][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1],-6.0890002,-6.089
[P][=Branch1][C][=O][Branch1][Ring2][O][C][C][Branch1][Ring2][O][C][C][O][C][C],0.43900001,0.439
[O][=C][Branch2][Ring1][Ring1][O][C][C][Branch1][Branch2][C][O][C][=Branch1][C][=O][N][Branch1][Ring2][C][C][C][C][N][C][Branch1][C][C][C],-2.938,-2.938
[P][=Branch1][C][=O][Branch1][=Branch1][O][C][C][C][C][Branch1][=Branch1][O][C][C][C][C][C][C][C][C],-2.7,-2.7
[S][=P][Branch1][P][S][C][C][=N][C][Branch1][C][N][=N][C][Branch1][C][N][=N][Ring1][Branch2][Branch1][Ring1][O][C][O][C],-3.069,-3.069
[O][=C][C][=C][Branch1][C][C][C][C][Branch1][C][C][Branch1][C][C][C][Ring1][=Branch2],-1.061,-1.061
[O][C][Branch1][Ring1][C][=C][Branch1][=Branch2][C][C][C][=C][Branch1][C][C][C][C],-1.987,-1.987
[Br][C][Branch1][C][Br][C][Br],-2.727,-2.727
[Br][C][Branch1][Ring1][C][Br][C],-2.1500001,-2.15
[Br][C][C][Branch1][C][C][C],-2.4319999,-2.432
[C][Branch1][Ring1][C][=C][=Branch1][C][=C][C],-2.026,-2.026
[N][C][C][Branch1][C][C][C],1.136,1.136
[O][C][C][Branch1][C][C][C],0.059,0.059
[O][=C][C][Branch1][C][C][C],0.090999998,0.091
[Cl][C][Branch1][Ring1][C][Cl][C],-1.6059999,-1.606
[Cl][C][Branch1][Ring1][C][Cl][=C],-1.7130001,-1.713
[O][=C][Branch1][Ring1][C][C][C],0.49000001,0.49
[Cl][C][C][=Branch1][C][=O][C],-0.012,-0.012
[Cl][C][Branch1][C][Cl][C][Cl],-1.4630001,-1.463
[Cl][C][Branch1][C][Cl][=C][Cl],-2.0109999,-2.011
[Cl][C][C][=Branch1][C][=O][N],-0.017000001,-0.017
[O][=C][Branch1][C][O][C][C],1.13,1.13
[O][=C][Branch1][Ring1][N][C][C],1.136,1.136
[S][=C][Branch1][Ring1][N][N][N],-0.95999998,-0.96
[O][=C][Branch1][Ring1][O][C][C],0.51599997,0.516
[O][Branch1][C][O][C][=Branch1][C][=O][C],1.119,1.119
[Br][C][Branch1][C][Br][C][Branch1][C][Br][Br],-2.707,-2.707
[C][Branch1][=Branch1][C][Branch1][C][C][C][Branch1][C][C][C],-3.5829998999999995,-3.583
[O][=C][Branch1][C][O][C][Branch1][C][C][C],0.278,0.278
[Cl][C][Branch1][C][Cl][C][Branch1][C][Cl][Cl],-1.773,-1.773
[O][=C][Branch1][C][O][C][=Branch1][C][=C][C],0.014,0.014
[Cl][C][Branch1][C][Cl][C][=Branch1][C][=O][O],0.88999999,0.89
[O][=N+1][Branch1][C][O-1][C][Branch1][C][C][C],-0.71899998,-0.719
[Br][C][Branch1][C][Br][Branch1][C][Br][C][=Branch1][C][=O][C][Branch1][C][Br][Br],-6.656000099999999,-6.656
[C][=C][C][Branch1][C][C][Branch1][C][C][C][C][C][Ring1][#Branch1][C][C][Ring1][Branch1],-4.4720001,-4.472
[O][C][=C][C][=C][Branch2][Ring1][Ring1][C][Branch1][C][C][Branch1][C][C][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][C][=C][Ring1][S],-3.279,-3.279
[O][Branch1][C][O][C][Branch1][C][C][Branch1][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1],-1.039,-1.039
[S][=Branch1][C][=O][=Branch1][C][=O][Branch1][Ring1][O][C][C][=C][C][=C][C][=C][Ring1][=Branch1],-1.742,-1.742
[O][Branch1][P][O][C][Branch1][C][C][Branch1][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Branch1][C][C][Branch1][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1],-5.7690001,-5.769
[O][C][=C][C][=C][Branch1][#Branch2][C][Branch1][Ring1][C][C][Branch1][C][C][C][C][=C][Ring1][O],-2.99,-2.99
[C][C][Branch1][C][C][C][C][Branch1][C][C][=C][C][C][Ring1][Branch2][C][Ring1][#Branch1],-4.7379999,-4.738
[O][=C][Branch1][Ring1][O][C][C][=Branch1][C][=C][C],-0.8240000000000001,-0.824
[O][=S][=Branch1][C][=O][N][C][=Branch1][C][=O][C][=C][Ring1][#Branch1][C][=C][C][=C][Ring1][=Branch1],-1.661,-1.661
[S][=Branch1][C][=O][=Branch1][C][=O][Branch1][C][O][C][=C][Branch2][Ring1][Branch2][/C][=C][/C][=C][Branch1][=Branch2][S][=Branch1][C][=O][=Branch1][C][=O][O][C][=C][Branch1][C][N][C][=C][Ring1][O][C][=C][C][Branch1][C][N][=C][Ring2][Ring1][Ring2],-2.756,-2.756
[S][=Branch1][C][=O][=Branch1][C][=O][Branch1][C][O][C][=C][Branch1][C][N][C][=C][C][=C][Ring1][#Branch1][C][=C][C][=C][Ring1][=Branch1],-1.7359999,-1.736
[O][=C][Branch1][C][O][C][C][C@@H1][Branch1][C][C][C][C@@][Branch1][C][C][C][=Branch1][C][=O][C][C][C@][Branch1][C][C][C][Branch1][S][C][C][=Branch1][C][=O][C][Ring1][Branch2][C][Ring1][=C][C][C][Ring1][P][C][C][=Branch1][C][=O][C][C][Ring1][#C],-3.3499999,-3.35
[O][=C][C][=C][Branch1][C][O][C][Branch1][C][O][=C][C][Branch1][C][O][=C][Ring1][=Branch2][C][=Branch1][C][=O][C][=C][Ring1][=C][C][=C][C][=C][Ring1][=Branch1],-4.6020002,-4.602
[O][=C][C][=C][Branch1][C][O][C][=C][C][Branch1][C][O][=C][Ring1][Branch2][C][=Branch1][C][=O][C][=C][Ring1][=N][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][Branch2],-5.0229998,-5.023
[O][=C][C][=C][Branch1][C][O][C][=C][C][Branch1][C][O][=C][Ring1][Branch2][C][=Branch1][C][=O][C][=C][Ring1][=N][C][=C][C][=C][Ring1][=Branch1],-6.3979998,-6.398
[Cl][C][=C][C][=C][Branch2][Ring1][=C][C][Branch1][#Branch1][C][C][=Branch1][C][=O][C][C][C][=Branch1][C][=O][O][C][=C][Branch1][Branch1][C][=Ring1][#Branch1][O][C][=C][C][=C][Ring1][Branch2][C][=C][Ring2][Ring1][#Branch1],-5.836,-5.836
[O][=C][C][=C][Branch1][C][N][C][Branch1][C][C][=C][C][=C][Ring1][Branch2][C][=Branch1][C][=O][C][=C][Ring1][=N][C][=C][C][=C][Ring1][=Branch1],-5.8540001,-5.854
[O][=C][C][=C][Branch1][Ring1][N][C][C][=C][C][=C][Ring1][Branch2][C][=Branch1][C][=O][C][=C][Ring1][=N][C][=C][C][=C][Ring1][=Branch1],-6.3000002,-6.3
[O][=C][C][=C][Branch1][C][N][C][=C][C][=C][Ring1][#Branch1][C][=Branch1][C][=O][C][=C][Ring1][N][C][=C][C][=C][Ring1][=Branch1],-5.8720002,-5.872
[O][=N+1][Branch1][C][O-1][C][=C][Branch1][C][O][C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][=C][C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][=C][Ring1][=N][O],-1.6619999,-1.662
[C][Branch1][N][N][C][C][N][Branch1][C][C][C][C][Ring1][#Branch1][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1],-2.4260001,-2.426
[O][=C][Branch1][=Branch2][C][Branch1][C][C][Branch1][C][C][C][C][C][=Branch1][C][=O][C][=C][Branch1][Branch1][C][Ring1][=Branch1][=O][C][=C][C][=C][Ring1][Branch2],-4.1069999,-4.107
[C][C][=C][C][=C][C][=Ring1][=Branch1][C][C][C][Ring1][=Branch2][=C][C][=C][Ring1][O],-4.5970001,-4.597
[C][C][C][=C][Branch1][Branch1][NH1][C][=Ring1][Branch1][C][=C][C][=C][Ring1][Branch2],-2.421,-2.421
[O][=C][Branch1][C][O][C][C][C][Branch1][C][C][C][C][Branch1][C][C][C][Branch1][C][O][C][C][C][Branch1][C][C][C][Branch1][#Branch2][C][C][Branch1][C][O][C][C][Ring1][Branch2][C][C][C][Ring1][N][C][Ring2][Ring1][C][C][C][Ring2][Ring1][Branch1],-3.954,-3.954
[O][=C][Branch1][C][O][C][C][C][Branch1][C][C][C][C][Branch1][C][C][C][Branch2][Ring2][C][C][C][Branch2][Ring1][Branch2][C][Branch1][C][C][C][Branch1][Branch2][C][Branch1][C][O][C][Ring1][Branch2][C][C][Branch1][C][O][C][C][Ring1][O][C][C][Ring2][Ring1][C][C][C][Ring2][Ring1][Branch1],-3.8169999,-3.817
[O][C][=C][C][Branch1][#Branch2][C][Branch1][C][O][=C][C][=C][Ring1][#Branch1][=C][C][=C][Ring1][O],-2.987,-2.987
[O][=C][N][Branch1][C][C][C][N][=C][N][Branch1][C][C][C][=Ring1][=Branch1][C][=Branch1][C][=O][N][Ring1][N],-2.737,-2.737
[O][=C][N][=C][N][Branch1][S][C][C@H1][Branch1][C][O][C@H1][Branch1][C][O][C@H1][Branch1][C][O][C][O][C][=C][Branch1][=N][N][=C][Ring1][#C][C][=Branch1][C][=O][N][Ring2][Ring1][Ring2][C][=C][Branch1][C][C][C][Branch1][C][C][=C][Ring1][=N],-3.648,-3.648
[Cl][C][=C][C][N][Branch2][Ring1][=Branch1][C][C][C][N][C][C][N][Branch1][=Branch2][C][C][O][C][=Branch1][C][=O][C][C][C][Ring1][N][C][=C][Branch1][O][S][C][=Ring2][Ring1][Branch1][C][=C][Ring2][Ring1][=Branch2][C][=C][C][=C][Ring1][#Branch2],-4.6989999000000005,-4.699
[O][=C][C][=Branch1][C][=O][C][=C][Branch1][O][C][=C][Ring1][#Branch1][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][Ring1][N],-4.4429998,-4.443
[C][=Branch2][Ring1][C][=C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][Ring1][N][C][=C][C][=C][C][=C][Ring1][=Branch1],-5.2690001,-5.269
[O][=C][Branch1][#Branch2][O][C][C][C][C][C][C][Ring1][=Branch1][C][=C][Branch1][=C][C][=Branch1][C][=O][O][C][C][C][C][C][C][Ring1][=Branch1][C][=C][C][=C][Ring1][#C],-4.9169998,-4.917
[O][=C][C][=C][Branch1][#C][C][=Branch1][C][=O][C][=C][Ring1][#Branch1][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][Ring1][=C],-5.1880002,-5.188
[O][=C][Branch1][Ring2][O][C][C][C][=C][Branch1][Branch2][C][=Branch1][C][=O][O][C][C][C][=C][C][=C][Ring1][O],-2.313,-2.313
[O][=C][Branch1][Branch2][O][C][C][Branch1][C][C][C][C][=C][Branch1][N][C][=Branch1][C][=O][O][C][C][Branch1][C][C][C][C][=C][C][=C][Ring1][=N],-4.652,-4.652
[O][=C][Branch1][Branch2][O][C][C][C][C][C][C][C][=C][Branch1][N][C][=Branch1][C][=O][O][C][C][C][C][C][C][C][=C][C][=C][Ring1][#C],-6.8249998,-6.825
[S][=Branch1][C][=O][=Branch1][C][=O][Branch1][C][O][C][=C][C][=Branch1][=Branch2][=C][Branch1][C][N][C][=C][Ring1][#Branch1][C][=C][C][=C][Ring1][#Branch2],-2.8570001,-2.857
[S][=Branch1][C][=O][=Branch1][C][=O][Branch1][C][O][C][=C][C][Branch1][#Branch2][C][Branch1][C][N][=C][C][=C][Ring1][#Branch1][=C][C][=C][Ring1][O],-2.349,-2.349
[C][=C][C][=Branch1][N][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][Ring1][#Branch2][C][=C][C][=C][Ring1][=N],-5.1900001,-5.19
[I][C][=C][Branch1][Branch2][N][C][=Branch1][C][=O][C][C][C][Branch1][C][I][=C][Branch1][=Branch1][C][=Branch1][C][=O][O][C][Branch1][C][I][=C][Ring1][S][N][C][=Branch1][C][=O][C][C],-2.8080001,-2.808
[Cl][C][NH1][C][C][=Branch1][C][=O][N][Branch1][C][C][C][=Branch1][C][=O][N][Branch1][C][C][C][=Ring1][#Branch2][N][=Ring1][=N],-1.508,-1.508
[Cl][C][=C][Branch1][#Branch1][C][C][=Branch1][C][=O][O][C][Branch1][C][Cl][=C][C][=C][Ring1][O][Cl],-3.0780001,-3.078
[I][C][=C][Branch1][#Branch1][N][C][=Branch1][C][=O][C][C][Branch1][C][I][=C][C][Branch1][C][I][=C][Ring1][N][C][=Branch1][C][=O][O],-2.6389999,-2.639
[O][=C][O][C][=Branch1][C][=O][C][=C][Ring1][=Branch1][C][=C][C][=C][Ring1][=Branch1],-1.378,-1.378
[O][=C][Branch1][C][O][C][=C][Branch1][S][C][=Branch1][C][=O][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][C][=C][C][=C][Ring1][#C],-2.5840001,-2.584
[O][=N][N][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1],-3.753,-3.753
[S][=P][Branch2][Ring1][=Branch1][S][C][N][C][=Branch1][C][=O][C][=C][Branch1][Branch1][N][=N][Ring1][#Branch1][C][=C][C][=C][Ring1][Branch2][Branch1][Ring1][O][C][O][C],-4.1810002,-4.181
[O][=C][Branch1][C][O][C][=C][N][=C][C][=C][C][Ring1][=Branch1][=C][C][=C][Ring1][#Branch2],-1.744,-1.744
[S][=Branch1][C][=O][=Branch1][C][=O][Branch1][C][O][C][=C][C][Branch1][#Branch2][C][=C][C][Branch1][C][N][=C][Ring1][#Branch1][=C][C][=C][Ring1][O],-2.5710001,-2.571
[S][=Branch1][C][=O][=Branch1][C][=O][Branch1][C][O][C][=C][C][=Branch1][S][=C][C][Branch1][=Branch2][S][=Branch1][C][=O][=Branch1][C][=O][O][=C][Ring1][#Branch2][C][=C][C][Branch1][C][N][=C][Ring1][=C],-0.51800001,-0.518
[C][C][=C][Branch1][#Branch1][C][=C][C][=C][Ring1][=Branch1][C][C][=Ring1][=Branch2][C][=C][C][=C][Ring1][=N],-4.993,-4.993
[O][=C][C][=C][C][Branch1][Ring1][O][C][=C][Branch1][Ring1][O][C][C][Branch1][Ring1][O][C][=C][Ring1][N],-2.1199999,-2.12
[O][=C][Branch1][C][O][C][C][=C][C][=Branch1][=Branch1][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][Ring1][=Branch2],-2.6470001,-2.647
[S][=C][Branch2][Ring1][C][N][C][=C][C][=Branch1][=Branch1][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][Ring1][=Branch2][N],-2.5280001,-2.528
[O][=C][N][C][=C][Branch1][Branch2][C][Branch1][C][O][=C][Ring1][#Branch1][C][=C][C][=C][Ring1][=Branch2],-3.792000100000001,-3.792
[O][=C][Branch2][Ring1][Ring1][O][C][C][C][N][Branch1][C][C][C][Branch1][Ring2][C][Ring1][#Branch1][C][C][Ring1][#Branch1][C][Branch1][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1],-1.4400001,-1.44
[O][=C][Branch1][#Branch2][N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][Branch1][C][O][C][=C][C][=C][Ring1][#Branch1],-3.5880001000000004,-3.588
[O][=C][Branch1][=Branch2][O][C][C][C][Branch1][C][C][C][C][=C][Branch1][C][O][C][=C][C][=C][Ring1][#Branch1],-3.1570001,-3.157
[O][=C][Branch1][Branch1][O][C][C][O][C][=C][Branch1][C][O][C][=C][C][=C][Ring1][#Branch1],-1.1569999,-1.157
[O][=N+1][Branch2][Ring1][=Branch1][O][C][C][O][C][C][Branch1][#Branch1][O][N+1][=Branch1][C][=O][O-1][C][Ring1][=Branch2][O][C][Ring1][N][O-1],-2.6329999,-2.633
[Cl][C][=C][Branch1][Ring1][O][C][C][Branch1][C][Cl][=C][C][Branch1][C][Cl][=C][Ring1][#Branch2],-4.3249998,-4.325
[Cl][C][NH1][C][=N][C][=N][C][=N][C][=Ring1][=Branch2][Ring1][Branch1],-1.49,-1.49
[O][=C][Branch1][C][O][C][C][C][=C][Branch1][Branch1][NH1][C][=Ring1][Branch1][C][=C][C][=C][Ring1][Branch2],-2.0669999,-2.067
[N][C][=C][Branch1][C][C][C][=C][C][=C][Ring1][#Branch1][C],-1.168,-1.168
[Br][C][=C][Branch1][C][Br][C][Branch1][C][Br][=C][Branch1][C][Br][C][Branch1][C][Br][=C][Ring1][#Branch2][Br],-9.5369997,-9.537
[C][C][=C][Branch1][C][C][C][Branch1][C][C][=C][Branch1][C][C][C][Branch1][C][C][=C][Ring1][#Branch2][C],-5.8390002,-5.839
[Cl][C][=C][Branch1][C][Cl][C][Branch1][C][Cl][=C][Branch1][C][O][C][Branch1][C][Cl][=C][Ring1][#Branch2][Cl],-4.2789998,-4.279
[Cl][C][=C][Branch1][C][C][C][=C][Branch1][C][O][C][=C][Ring1][Branch2][C],-2.7969999,-2.797
[Cl][C][=C][Branch1][C][O][C][Branch1][C][Cl][=C][C][Branch1][C][Cl][=C][Ring1][=Branch2],-2.392,-2.392
[O][=C][Branch1][C][O][C][Branch1][Ring1][C][C][C][C],-0.81,-0.81
[O][=C][Branch1][C][O][C][=C][S][C][=C][Ring1][Branch1],-1.474,-1.474
[O][=C][Branch1][C][C][C][S][C][=C][C][=Ring1][Branch1],-0.95499998,-0.955
[O][C][=C][Branch1][=Branch2][C][Branch1][C][C][Branch1][C][C][C][C][=C][C][=C][Ring1][#Branch2],-2.332,-2.332
[S][=Branch1][C][=O][=Branch1][C][=O][Branch1][C][N][C][=C][Branch1][C][C][C][=C][C][=C][Ring1][#Branch1],-2.0239999,-2.024
[F][C][Branch1][C][F][Branch1][C][F][C][=C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][C][=C][C][Branch1][C][O][=C][Ring1][#Branch2],-1.617,-1.617
