SELFIES,true_LC50[-LOG(mol_L)],guessed_LC50[-LOG(mol_L)]
[C][C][=C][C@@H1][C@][Branch1][S][C][C@@H1][Ring1][=Branch1][O][C][=Branch1][C][=O][C][C][Branch1][C][C][C][Branch2][Ring1][=N][C@][Branch2][Ring1][Branch2][C@@H1][Branch2][Ring1][Ring1][C@H1][Branch1][#C][C@H1][Branch1][Branch2][C@][Ring1][Branch1][C][O][Ring1][Ring1][O][Ring2][Ring1][Ring1][O][O][C][C][O][C][=Branch1][C][=O][C],3.92,3.92
[O-1][N+1][=Branch1][C][=O][C][=C][N][=C][Branch1][Branch1][N][Ring1][Branch1][C][C][Branch1][C][O][Branch1][C][C][C],3.19,3.19
[Cl][C][=C][C][=Branch1][#Branch2][=C][C][Branch1][C][Cl][=C][Ring1][#Branch1][N][C][Branch1][C][O][C][N][C][Branch1][C][C][Branch1][C][C][C][O],3.73,3.73
[O-1][N+1][=Branch1][C][=O][C][=C][N][=C][Branch1][#Branch1][N][Ring1][Branch1][C][C][O][C][O],3.03,3.03
[C][C][Branch1][Ring1][C][O][C][=N][C][=C][Branch1][Branch1][N][Ring1][Branch1][C][N+1][=Branch1][C][=O][O-1],3.39,3.39
[C][C][O][P][=Branch1][C][=S][Branch1][#Branch1][N][C][Branch1][C][C][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O][C][Branch1][C][C][C],6.42,6.42
[C][N][Branch1][C][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][Branch1][S][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N][Branch1][C][C][C][O],4.38,4.38
[Cl][C][=C][C][=Branch1][P][=C][C][=Branch1][Branch1][=C][Ring1][=Branch1][N][C][Branch1][C][F][Branch1][C][F][F][C][Branch1][C][O][C][N][C][Branch1][C][C][Branch1][C][C][C][C],4.92,4.92
[C][N][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][C][O][C][=N][C][=C][C][=C][C][=C][Ring1][=Branch1][S][Ring1][=Branch2],4.52,4.52
[O][=C][Branch1][Ring1][O][C][/C][=Branch1][=N][=C][/O][P][=Branch1][C][=S][Branch1][Ring1][O][C][O][C][C],4.88,4.88
[C][C][Branch1][=N][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C],3.67,3.67
[O][=C][Branch1][Ring2][S][C][C][N][C][C][C][C][C][Ring1][=Branch1],3.62,3.62
[C][C][N][Branch1][=N][C][C][=C][N][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][Cl][/C][=Branch1][#Branch1][=C][/N+1][=Branch1][C][=O][O-1][/N][C],4.24,4.24
[C][=C][Branch1][=N][O][C][=Branch1][Ring2][=C][Ring1][Branch1][N+1][=Branch1][C][=O][O-1][/C][=N][/N][C][=Branch1][C][=O][N],4.57,4.57
[C][C][O][P][=Branch1][C][=S][Branch1][Ring2][O][C][C][O][N][=C][Branch1][Ring1][C][#N][C][=C][C][=C][C][=C][Ring1][=Branch1],5.07,5.07
[C][C][N][Branch1][Ring1][C][C][C][C][O][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N],3.58,3.58
[O][=C][Branch2][Ring1][N][N][Branch2][Ring1][Ring1][C][C][O][C][=C][Branch1][C][Cl][C][=C][Branch1][C][Cl][C][=C][Ring1][Branch2][Cl][C][Branch1][C][C][C][N][C][=C][N][=C][Ring1][Branch1],5.96,5.96
[C][C][O][C][=Branch1][C][=O][C][Branch1][C][C][O][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][C][=C][N][=C][C][=C][Branch1][C][Cl][C][=C][C][Ring1][#Branch1][=N][Ring1][O],5.4,5.4
[O][=C][C][C][Branch1][=Branch2][C][C][Branch1][Ring2][S][C][C][C][C][C][=Branch1][C][=O][C][Ring1][=N][\C][=Branch1][Branch1][=N][\O][C][C][C][C][C],4.93,4.93
[C][C][=Branch1][C][=O][N][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][S][=Branch1][C][=O][=Branch1][C][=O][N][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N+1][=Branch1][C][=O][O-1],4.09,4.09
[O][=C][Branch1][S][N][C][=N][C][=Branch1][=Branch2][=N][C][=Branch1][Ring2][=N][Ring1][=Branch1][C][C][N][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O][C],3.71,3.71
[C][C][=C][C@@H1][C@][Branch1][S][C][C@@H1][Ring1][=Branch1][O][C][=Branch1][C][=O][C][C][Branch1][C][C][C][Branch2][Ring2][C][C@][Branch2][Ring1][=N][C@@H1][Branch2][Ring1][Ring1][C@H1][Branch1][#C][C@H1][Branch1][Branch2][C@@][Ring1][Branch1][C][O][Ring1][Ring1][O][Ring2][Ring1][Ring1][O][O][C][=Branch1][C][=O][C][C][C][O][C][=Branch1][C][=O][C],4.78,4.78
[C][C][C][=N][N][Branch2][Ring1][S][C][=Branch1][Branch1][=C][Ring1][Branch1][Cl][C][=Branch1][C][=O][N][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][Branch1][C][C][Branch1][C][C][C][C],6.06,6.06
[C][C][=C][C][=Branch2][Ring1][=Branch1][=C][Branch1][Branch2][C][=Branch1][Ring2][=C][Ring1][=Branch1][Cl][O][P][=Branch1][C][=S][Branch1][Ring1][O][C][O][C][Cl],5.64,5.64
[O][=S][=Branch1][C][=O][Branch2][Ring1][Branch2][N][Branch1][#Branch2][S][C][Branch1][C][Cl][Branch1][C][Cl][F][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][N][Branch1][C][C][C],5.21,5.21
[C][C][C][N][Branch1][Ring2][C][C][C][C][=Branch1][C][=O][S][C][C][C],4.3,4.3
[O][=C][Branch1][N][N][N][=C][C][Branch1][C][C][Branch1][C][C][C][N][Branch1][C][N][C][Ring1][Branch2][=O],2.81,2.81
[C][C][Branch1][C][C][N][C][C][Branch2][Ring1][Ring2][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N][S][=Branch1][C][=O][=Branch1][C][=O][C][O],2.92,2.92
[C][C][Branch1][C][C][N][C][C][Branch1][P][C][O][C][=C][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][#Branch2][O],4.87,4.87
[C][O][C][C][C][=C][C][=C][Branch1][=C][O][C][C][Branch1][C][O][C][N][C][Branch1][C][C][C][C][=C][Ring1][#C],3.02,3.02
[N][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][S][=Branch1][C][=O][=Branch1][C][=O][N][C][=N][C][=C][C][=N][Ring1][=Branch1],2.87,2.87
[C][Branch2][Ring1][#Branch1][S][Branch1][S][N][C][=N][C][=Branch1][=Branch2][=C][C][=Branch1][Ring2][=N][Ring1][=Branch1][C][C][=Branch1][C][=O][=O][=C][C][=C][Branch1][C][N][C][=C][Ring2][Ring1][Ring1],3.26,3.26
[C][Branch2][Ring1][Ring2][N][S][Branch1][N][C][=C][C][=C][Branch1][C][N][C][=C][Ring1][#Branch1][=Branch1][C][=O][=O][=C][C][=Branch1][#Branch2][=N][C][=Branch1][Ring2][=N][Ring1][P][O][C][O][C],3.28,3.28
[C][Branch1][S][S][Branch1][=Branch2][N][C][=N][C][=C][S][Ring1][Branch1][=Branch1][C][=O][=O][=C][C][=C][Branch1][C][N][C][=C][Ring1][S],3.55,3.55
[N][Branch2][Ring1][#Branch1][C][=C][Branch1][#Branch1][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][Ring1][O][C][=C][C][=C][Ring1][=Branch1][C][Branch1][C][N][=O],4.04,4.04
[C][=Branch1][Branch2][=C][C][=C][C][=C][Ring1][=Branch1][C][Branch1][N][C][=Branch1][C][=O][N][C][N][C][Ring1][#Branch1][=O][C][C],2.88,2.88
[C][N][\C][Branch2][Ring1][Branch1][N][C][C][S][C][C][=C][C][=C][Branch1][#Branch1][C][N][Branch1][C][C][C][O][Ring1][=Branch2][=C][/N+1][Branch1][C][O-1][=O],4.84,4.84
[C][C][=N][C][=C][Branch1][#Branch1][N][Ring1][Branch1][C][C][O][N+1][Branch1][C][O-1][=O],3.29,3.29
[C][Branch1][S][C][C][=C][Branch1][#Branch2][N][=C][Branch1][C][N][N][=C][Ring1][#Branch1][N][=C][C][=Branch1][=C][=C][Branch1][Ring1][O][C][C][=Branch1][Ring2][=C][Ring1][P][O][C][O][C],3.64,3.64
[C][=C][Branch2][Ring1][=Branch1][C][=Branch1][=Branch1][=C][C][=C][Ring1][=Branch1][N][C][=C][Branch1][Branch2][C][=C][C][=C][Ring1][=Branch1][Cl][Cl][C][C][=Branch1][C][=O][O],5.67,5.67
[C][C][Branch2][Ring1][Branch1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][Branch1][Branch1][C][=C][Ring1][Branch2][O][C][C][=Branch1][C][=O][O],5.09,5.09
[C][Branch1][#Branch2][C@@H1][Branch1][=Branch1][C][Branch1][C][O][=O][C][=C][C][=C][Branch1][#Branch1][C][C][Branch1][C][C][C][C][=C][Ring1][#C],5.31,5.31
[C][C][Branch1][C][C][Branch1][=N][O][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][C][Branch1][C][O][=O],4.02,4.02
[C][C][Branch2][Ring1][#Branch1][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O],5.08,5.08
[C][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N][Branch1][S][C][=Branch1][C][=O][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][C][Branch1][C][C][=C][Ring1][P][C][C][Branch1][C][O][=O],6.26,6.26
[C][=Branch1][#C][=C][Branch1][#Branch1][C][=C][C][=C][Ring1][=Branch1][C][Branch1][C][O][=O][N][C][=C][Branch1][#Branch2][C][=Branch1][=Branch1][=C][C][=C][Ring1][=Branch1][C][C],5.54,5.54
[C][Branch2][Ring1][S][C][Branch2][Ring1][O][N][C][C][C][=C][C][=C][Branch1][=C][O][C][Branch1][=Branch1][C][Branch1][C][O][=O][Branch1][C][C][C][C][=C][Ring1][=N][=O][=C][C][=C][Branch1][C][Cl][C][=C][Ring2][Ring1][=Branch2],4.62,4.62
[C][C][C][C][C][O][C][Branch1][Ring2][O][Ring1][Branch1][Branch1][=Branch2][C][N][C][=N][C][=N][Ring1][Branch1][C][=C][Branch1][#Branch2][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][Cl][Cl],5.01,5.01
[C][Branch1][N][C][Branch1][Branch2][N][Branch1][Ring1][C][C][C][C][=O][=C][C][Branch1][C][C][=C][C][=C][Ring1][=C],3.61,3.61
[C][Branch1][=N][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][=O][=C][Branch1][O][C][=C][Branch1][Ring1][O][C][C][=C][Ring1][S][O],5.17,5.17
[C][C][N][C][=C][Branch1][=Branch1][C][Branch1][C][O][=O][C][=Branch1][C][=O][C][=C][C][Branch1][C][F][=C][Branch1][#Branch1][C][=C][Ring1][#C][Ring1][#Branch1][N][C][C][N][C][C][Ring1][=Branch1],4.65,4.65
[C][Branch1][P][S][Branch1][#Branch2][N][C][=C][C][=C][C][=N][Ring1][=Branch1][=Branch1][C][=O][=O][=C][C][=C][Branch1][C][N][C][=C][Ring1][P],2.93,2.93
[C][C][=Branch1][C][=O][N][C][C][=Branch1][C][=O][N][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][N][Branch1][C][C][C][=Ring1][=N][C],4.12,4.12
[C][C][=Branch1][C][=O][N][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1],2.55,2.55
[C][Branch1][C][C][=Branch1][C][=O][N][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][S][=Branch1][C][=O][=Branch1][C][=O][N][C][=N][C][=Branch1][#Branch2][=C][C][=Branch1][Ring2][=N][Ring1][=Branch1][O][C][O][C],3.48,3.48
[O][=S][=Branch1][C][=O][Branch1][P][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N][C][=Branch1][C][=O][C][N][C][=N][C][=Branch1][=Branch2][=C][C][=Branch1][Ring2][=N][Ring1][=Branch1][C][C],3.46,3.46
[C][=N][C][Branch2][Ring1][=Branch2][N][S][Branch1][P][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N][C][Branch1][C][C][=O][=Branch1][C][=O][=O][=N][C][=C][Ring2][Ring1][Ring2],2.78,2.78
[C][=Branch1][S][=C][C][=C][Branch1][#Branch1][N][C][=Branch1][C][=O][C][C][=C][Ring1][#Branch2][S][=Branch1][C][=O][Branch1][=Branch2][N][C][=N][C][=C][S][Ring1][Branch1][=O],3.67,3.67
[C][=C][Branch2][Ring1][Branch2][C][Branch2][Ring1][Ring1][N][Branch1][=Branch1][C][Branch1][C][C][C][S][Branch1][Ring2][N][Ring1][=Branch2][=Branch1][C][=O][=O][=O][C][=C][C][=C][Ring1][S],3.33,3.33
[C][C][=C][S][C][=Branch2][Ring1][Ring2][=C][Ring1][Branch1][N][Branch1][Branch2][C][Branch1][C][C][C][O][C][C][=Branch1][C][=O][C][Cl][C],4.14,4.14
[C][=C][C][=C][C][=C][Ring1][=Branch1][C][N][Branch1][=N][C][=Branch1][C][=O][C][Branch1][C][C][Branch1][C][C][C][C][Branch1][C][C][C],4.19,4.19
[O][C][=C][Branch1][=Branch1][N+1][Branch1][C][O-1][=O][C][=C][Branch1][=Branch1][N+1][Branch1][C][O-1][=O][C][=C][Ring1][N][C][Branch1][C][C][C][C],6.12,6.12
[C][Branch2][Ring2][O][C][Branch1][#Branch2][C][Branch1][=Branch1][C][C][C][Ring1][=Branch1][=O][C][Branch2][Ring1][#Branch2][C][=C][Branch1][P][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][S][=Branch1][C][=O][=Branch1][C][=O][C][N+1][=Branch1][C][=O][O-1][=O][=O],4.5,4.5
[S][Branch1][Ring2][C][=C][C][C][Branch1][C][C][=C][Ring1][Branch1][N][Branch1][#Branch2][C][=Branch1][C][=O][C][=Branch1][C][=O][O][C][Branch1][Ring2][C][O][C][C],4.06,4.06
[S][Branch1][Ring2][C][=C][C][C][Branch1][C][C][=C][Ring1][Branch1][N][Branch1][=C][C][=Branch1][C][=O][C][S][=Branch1][C][=O][=Branch1][C][=O][O][C][Branch1][Ring2][C][O][C][C],3.63,3.63
[C][=Branch1][=C][=C][Branch1][#Branch2][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][C][O][C][C][Branch1][C][O][=O],3.76,3.76
[C][=Branch1][S][=N][C][=Branch1][=Branch2][=N][C][=Branch1][Ring2][=N][Ring1][=Branch1][Cl][N][C][C][N][C][C],3.91,3.91
[C][C][=C][C][=C][C][Branch1][Ring1][C][C][=C][Ring1][Branch2][N][Branch1][Branch2][C][Branch1][C][C][C][O][C][C][Branch1][=Branch1][C][Branch1][C][O][=O][=O],4.53,4.53
[O][=C][C][Branch1][C][\Br][=C][Branch1][#C][/N][C][=Branch1][C][=O][N][Ring1][Branch2][C][Branch1][Ring1][C][C][C][C],3.35,3.35
[Cl][C][=C][Branch1][Branch2][O][C][C][Branch1][C][O][=O][C][=C][C][Branch1][C][Cl][=C][Ring1][N],3.99,3.99
[C][C][C][=C][C][=C][C][=Branch2][Ring1][Ring2][=C][Ring1][=Branch1][N][Branch1][Branch2][C][Branch1][C][C][C][O][C][C][=Branch1][C][=O][C][Cl][C],4.59,4.59
[N][Branch1][=N][C][=C][Branch1][Branch2][C][=C][C][=C][Ring1][=Branch1][C][C][Branch1][=Branch2][C][N][C][=C][C][=N][Ring1][Branch1][C][Branch1][Ring1][C][Cl][=O],4.83,4.83
[C][C][Branch1][S][O][C][=C][Branch1][C][Cl][C][=C][Branch1][C][Cl][C][=C][Ring1][Branch2][C][Branch1][C][O][=O],4.57,4.57
[C][=Branch2][Ring1][Branch2][=C][Branch2][Ring1][Ring1][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][N][C][Branch1][=Branch1][N][Branch1][C][C][C][=O][C][Cl],4.09,4.09
[C][C][C][=C][C][=C][C][Branch1][Ring1][C][C][=C][Ring1][Branch2][N][Branch1][Ring2][C][O][C][C][=Branch1][C][=O][C][Cl],4.77,4.77
[C][=Branch1][S][=C][Branch1][O][C][=Branch1][#Branch1][=C][C][=C][Ring1][=Branch1][Cl][Cl][O][C][C][Branch1][C][O][=O],4.31,4.31
[N][=Branch1][=N][=C][Branch1][=Branch2][N][=C][N][C][Branch1][C][C][C][O][C][=Branch1][Ring2][=N][Ring1][Branch2][N],2.25,2.25
[C][=Branch1][S][=N][C][=Branch1][=Branch2][=N][C][=Branch1][Ring2][=N][Ring1][=Branch1][O][N][C][C][N][C][Branch1][C][C][C],2.61,2.61
[C][Branch1][=N][N][Branch1][=Branch2][S][C][=Branch1][Ring2][=C][Ring1][Branch1][Cl][C][=O],3.7,3.7
[S][Branch1][C][C][C][=Branch1][#Branch1][=N][C][=Branch1][C][=N][N][N][=C][Ring1][Ring2][N][C][Branch1][C][C][Branch1][C][C][C],3.81,3.81
[C][=Branch1][S][=N][C][=Branch1][=Branch2][=N][C][=Branch1][Ring2][=N][Ring1][=Branch1][Cl][N][C][C][N][C][Branch1][C][C][Branch1][C][C][C],4.23,4.23
[N][Branch1][=Branch1][C][=Branch1][C][=O][N][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][Branch1][C][C][C],3.69,3.69
[C][=Branch1][#C][=C][C][=C][Branch1][=Branch1][C][Branch1][C][C][C][C][=C][Ring1][=Branch2][N][C][Branch1][=Branch1][N][Branch1][C][C][C][=O],4.14,4.14
[C][=Branch1][=C][=N][C][=Branch1][=Branch2][=N][C][=Branch1][Ring2][=N][Ring1][=Branch1][Cl][N][N][C][C],2.66,2.66
[C][=Branch1][S][=N][C][=Branch1][=Branch2][=N][C][=Branch1][Ring2][=N][Ring1][=Branch1][Cl][N][C][C][N][C][Branch1][C][C][C],4.19,4.19
[C][=Branch1][=C][=C][C][=Branch1][=Branch2][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][Cl][N][C][Branch1][C][N][=O],3.93,3.93
[O][=C][C][C][C][C][=Branch1][C][=O][C][Ring1][#Branch1][C][=Branch1][C][=O][C][=C][C][=C][Branch1][=Branch2][S][=Branch1][C][=O][=Branch1][C][=O][C][C][=C][Ring1][#Branch2][Cl],4.72,4.72
[C][=Branch2][Ring1][Branch2][=C][Branch2][Ring1][Ring1][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][N][C][Branch1][=Branch1][N][Branch1][C][C][C][=O][Cl][Cl],4.29,4.29
[C][=Branch1][=C][=C][C][=Branch1][=Branch2][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][Cl][N][C][Branch1][Ring1][N][C][=O],4.28,4.28
[S][Branch1][#Branch2][N][C][=C][C][=C][C][=C][Ring1][=Branch1][Branch1][=Branch1][N][Branch1][C][C][C][=Branch1][C][=O][=O],3.02,3.02
[C][Branch2][Ring1][Ring1][S][Branch1][N][N][C][C][=C][Branch1][C][C][O][N][=Ring1][=Branch1][=Branch1][C][=O][=O][=C][C][=C][Branch1][C][N][C][=C][Ring1][P],3.81,3.81
[C][=Branch1][S][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N][C][Branch1][C][C][=O][S][Branch1][N][N][C][C][=C][Branch1][C][C][O][N][=Ring1][=Branch1][=Branch1][C][=O][=O],3.98,3.98
[N][Branch1][#Branch2][C][Branch1][=Branch1][C][=C][S][Ring1][Branch1][=O][C][C][C][C][C][C][C][C],5.25,5.25
[C][=C][Branch1][#Branch1][C][=C][C][=C][Ring1][=Branch1][S][NH1][C][Ring1][=Branch2][=O],3.31,3.31
[C][=Branch2][Ring1][#Branch1][=N][C][Branch1][#Branch2][N][C][Branch1][C][C][Branch1][C][C][C][=N][C][=Branch1][Ring2][=N][Ring1][O][S][C][N][C][C][C][Ring1][Ring1],4.31,4.31
[C][=C][Branch1][P][N][Branch1][=N][C][=Branch1][C][=O][N][Branch1][Branch1][C][Ring1][#Branch1][=O][C][C][N][=C][N][Ring1][=N][C],2.92,2.92
[N][Branch2][Ring1][Branch1][C][=Branch1][C][=O][N][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][Branch1][C][C][C][C],4.12,4.12
[N][Branch1][#Branch2][C][Branch1][=Branch1][O][C][C][#C][I][=O][C][C][C][C],6.13,6.13
[C][=Branch1][P][=N][C][=Branch1][#Branch2][=N][C][=Branch1][Ring2][=N][Ring1][=Branch1][S][C][N][C][C][N][C][Branch1][C][C][Branch1][C][C][C],4.15,4.15
[C][C][=C][Branch1][#Branch2][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][Cl][O][C][Branch1][C][C][C][=Branch1][C][=O][O],4.56,4.56
[C][Branch1][#Branch2][O][C][=C][C][=C][C][=C][Ring1][=Branch1][=C][C][=Branch1][=Branch1][=C][C][=C][Ring1][=N][C][O],3.87,3.87
[C][=Branch1][#C][=C][C][=Branch1][=Branch1][=C][C][=C][Ring1][=Branch1][C][Branch1][C][O][=O][O][C][=C][C][=C][C][=C][Ring1][=Branch1],4.49,4.49
[C][C][Branch1][C][C][Branch1][C][C][C][Branch1][=C][C][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][Cl][Branch1][=Branch2][C][N][C][=N][C][=N][Ring1][Branch1][O],4.93,4.93
[O][C][Branch1][=Branch2][C][N][C][=N][C][=N][Ring1][Branch1][Branch1][=Branch2][C][N][C][=N][C][=N][Ring1][Branch1][C][=C][Branch1][C][F][C][=C][Branch1][C][F][C][=C][Ring1][Branch2],4.17,4.17
[C][=Branch1][Ring1][=N][C][N][C][=C][Branch1][#Branch2][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][C],3.66,3.66
[C][N][C][C][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][Branch1][C][F][Branch1][C][F][F],5.36,5.36
[C][C][Branch1][C][C][O][C][=Branch1][C][=O][C][Branch1][C][C][Branch1][C][C][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][Cl],4.95,4.95
[C][=C][C][Branch2][Ring1][N][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O][C][Branch1][=Branch1][C][=Branch1][C][=O][O][Branch1][C][C][C][=C][C][=C][Ring2][Ring1][Branch1][Cl],4.94,4.94
[C][N][N][Branch1][#Branch2][C][=Branch1][C][=O][C][=C][Ring1][=Branch1][C][C][=C][C][=C][C][=C][Ring1][=Branch1],3.95,3.95
[O][=S][=Branch1][C][=O][Branch1][=N][N][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1][N][Branch1][C][C][C],3.24,3.24
[S][=Branch1][C][=O][=Branch1][C][=O][Branch1][C][N][N][Branch1][C][C][C],1.9,1.9
[C][=C][Branch1][=Branch1][S][C][=N][Ring1][Branch1][C][=C][C][=C][Ring1][=Branch2],3.55,3.55
[O][=C][C][Branch1][C][Cl][=C][Branch1][C][Cl][S][N][Ring1][#Branch1][C][C][C][C][C][C][C][C],6.02,6.02
[C][=Branch1][P][=N][C][=Branch1][#Branch2][=N][C][=Branch1][Ring2][=N][Ring1][=Branch1][O][C][N][C][C][N][C][Branch1][C][C][Branch1][C][C][C],3.81,3.81
[C][C][N][C][=N][C][Branch1][C][O][=N][C][Branch1][#Branch2][N][C][Branch1][C][C][Branch1][C][C][C][=N][Ring1][N],2.81,2.81
[O][=S][Branch1][C][O][Branch2][Ring1][=C][C][C][Branch2][Ring1][Branch2][N][Branch1][Branch2][C][Branch1][C][C][C][O][C][C][=C][Branch1][Ring1][C][C][C][=C][C][=C][Ring1][Branch2][C][=O][=O],3.57,3.57
[C][O][C][C][O][C][C][O][C],2.43,2.43
[C][O][C][=C][Branch2][Ring2][Branch1][C][=Branch1][=Branch1][=N][C][=C][Ring1][=Branch1][C][S][=Branch1][C][=O][C][=N][C][=C][Branch1][Ring2][N][Ring1][Branch1][C][=C][Branch1][Branch1][C][=C][Ring1][#Branch1][O][C][Branch1][C][F][F][O][C],4.71,4.71
[S][Branch1][N][C][=C][C][=C][Branch1][C][N][C][=C][Ring1][#Branch1][Branch1][C][O][=Branch1][C][=O][=O],2.83,2.83
[O][S][Branch1][P][C][=C][C][=C][Branch1][#Branch1][C][=C][C][=C][Ring1][=Branch1][C][=C][Ring1][#Branch2][=Branch1][C][=O][=O],3.65,3.65
[C][C][C][Branch1][Ring1][C][C][O][C][C][=C][Branch1][#C][C][C][Branch1][#Branch2][C][Ring1][=Branch1][N][C][=Branch1][C][=O][C][N][C][=Branch1][C][=O][O][C][C],3.98,3.98
[C][C][C][Branch1][Ring1][C][C][O][C@@H1][C][=C][Branch1][#C][C][C@@H1][Branch1][#Branch2][C@H1][Ring1][=Branch1][N][C][=Branch1][C][=O][C][N][C][=Branch1][C][=O][O],3.6,3.6
[C][C][Branch1][C][C][C][=C][C][C][=Branch1][C][=O][O][C][C][Branch1][C][C][C][=Ring1][Branch2][C][=C][Ring1][N][C][Branch1][C][C][Branch1][C][C][C][Ring2][Ring1][C][C],5.83,5.83
[C][C][C][C][C][C][Branch1][#Branch2][C][Ring1][=Branch1][C][C][C][Ring1][=Branch2][=O][C][C][=Branch1][C][=C][C][=C][C][=Branch1][C][=O][C][=C][C][Ring1][P][Ring1][#Branch1][C],5.08,5.08
[F][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N][Branch1][=Branch1][C][Branch1][C][C][C][C][=Branch1][C][=O][C][S][Branch1][C][O][=Branch1][C][=O][=O],3.3,3.3
[F][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N][Branch1][=Branch1][C][Branch1][C][C][C][C][=Branch1][C][=O][C][Branch1][C][O][=O],4.38,4.38
[O][=S][=Branch1][C][=O][Branch1][C][O][C][C][=Branch1][C][=O][N][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Branch1][C][C][C],3.22,3.22
[C][C][Branch1][C][C][N][Branch1][#Branch2][C][=Branch1][C][=O][C][Branch1][C][O][=O][C][=C][C][=C][C][=C][Ring1][=Branch1],4.28,4.28
[O][C][=N][C][Branch1][Ring2][N][C][C][=N][C][Branch1][Ring2][N][C][C][=N][Ring1][N],2.29,2.29
[C][=Branch1][P][=N][C][=Branch1][#Branch2][=N][C][=Branch1][Ring2][=N][Ring1][=Branch1][O][C][N][C][C][N][C][Branch1][Ring1][C][C][C],3.71,3.71
[N][=C][Branch1][=N][N][=C][Branch1][C][Cl][N][=C][Ring1][#Branch1][N][C][C][N][C][Branch1][Ring1][C][C][C],4.23,4.23
[O][C][=C][C][=C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][C][=C][Ring1][#Branch2],4.14,4.14
